date_id,full_date,year,month,day,weekday
1,2023-03-31,2023,3,31,Friday
2,2023-04-01,2023,4,1,Saturday
3,2023-04-02,2023,4,2,Sunday
4,2023-04-03,2023,4,3,Monday
5,2023-04-04,2023,4,4,Tuesday
6,2023-04-05,2023,4,5,Wednesday
7,2023-04-06,2023,4,6,Thursday
8,2023-04-07,2023,4,7,Friday
9,2023-04-08,2023,4,8,Saturday
10,2023-04-09,2023,4,9,Sunday
11,2023-04-10,2023,4,10,Monday
12,2023-04-11,2023,4,11,Tuesday
13,2023-04-12,2023,4,12,Wednesday
14,2023-04-13,2023,4,13,Thursday
15,2023-04-14,2023,4,14,Friday
16,2023-04-15,2023,4,15,Saturday
17,2023-04-16,2023,4,16,Sunday
18,2023-04-17,2023,4,17,Monday
19,2023-04-18,2023,4,18,Tuesday
20,2023-04-19,2023,4,19,Wednesday
21,2023-04-20,2023,4,20,Thursday
22,2023-04-21,2023,4,21,Friday
23,2023-04-22,2023,4,22,Saturday
24,2023-04-23,2023,4,23,Sunday
25,2023-04-24,2023,4,24,Monday
26,2023-04-25,2023,4,25,Tuesday
27,2023-04-26,2023,4,26,Wednesday
28,2023-04-27,2023,4,27,Thursday
29,2023-04-28,2023,4,28,Friday
30,2023-04-29,2023,4,29,Saturday
31,2023-04-30,2023,4,30,Sunday
32,2023-05-01,2023,5,1,Monday
33,2023-05-02,2023,5,2,Tuesday
34,2023-05-03,2023,5,3,Wednesday
35,2023-05-04,2023,5,4,Thursday
36,2023-05-05,2023,5,5,Friday
37,2023-05-06,2023,5,6,Saturday
38,2023-05-07,2023,5,7,Sunday
39,2023-05-08,2023,5,8,Monday
40,2023-05-09,2023,5,9,Tuesday
41,2023-05-10,2023,5,10,Wednesday
42,2023-05-11,2023,5,11,Thursday
43,2023-05-12,2023,5,12,Friday
44,2023-05-13,2023,5,13,Saturday
45,2023-05-14,2023,5,14,Sunday
46,2023-05-15,2023,5,15,Monday
47,2023-05-16,2023,5,16,Tuesday
48,2023-05-17,2023,5,17,Wednesday
49,2023-05-18,2023,5,18,Thursday
50,2023-05-19,2023,5,19,Friday
51,2023-05-20,2023,5,20,Saturday
52,2023-05-21,2023,5,21,Sunday
53,2023-05-23,2023,5,23,Tuesday
54,2023-05-24,2023,5,24,Wednesday
55,2023-05-26,2023,5,26,Friday
56,2023-05-29,2023,5,29,Monday
