venue_id,venue,location
1,Narendra Modi Stadium,Ahmedabad
2,Punjab Cricket Association IS Bindra Stadium,Chandigarh
3,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow
4,Rajiv Gandhi International Stadium,Hyderabad
5,M Chinnaswamy Stadium,Bengaluru
6,MA Chidambaram Stadium,Chennai
7,Arun Jaitley Stadium,Delhi
8,Barsapara Cricket Stadium,Guwahati
9,Eden Gardens,Kolkata
10,Wankhede Stadium,Mumbai
11,Sawai Mansingh Stadium,Jaipur
12,Himachal Pradesh Cricket Association Stadium,Dharamsala
