id,match_no,total_runs,total_wickets,total_balls,total_overs
1,1,360,12,243,40.5
2,2,337,12,222,37.0
3,3,336,15,251,41.833333333333336
4,4,334,13,248,41.333333333333336
5,5,343,9,232,38.666666666666664
6,6,422,14,260,43.333333333333336
7,7,325,12,240,40.0
8,8,389,11,252,42.0
9,9,327,17,236,39.333333333333336
10,10,248,13,223,37.166666666666664
11,11,341,13,252,42.0
12,12,316,11,239,39.833333333333336
13,13,411,11,250,41.666666666666664
14,14,288,11,228,38.0
15,15,425,11,253,42.166666666666664
16,16,345,14,246,41.0
17,17,347,14,253,42.166666666666664
18,18,307,12,248,41.333333333333336
19,19,433,11,256,42.666666666666664
20,20,325,15,247,41.166666666666664
21,21,320,16,249,41.5
22,22,371,11,237,39.5
23,23,356,14,242,40.333333333333336
24,24,444,14,252,42.0
25,25,370,15,249,41.5
26,26,298,13,245,40.833333333333336
27,27,324,14,236,39.333333333333336
28,28,255,16,251,41.833333333333336
29,29,272,10,234,39.0
30,30,263,13,241,40.166666666666664
31,31,414,14,252,42.0
32,32,371,15,251,41.833333333333336
33,33,421,12,252,42.0
34,34,281,15,242,40.333333333333336
35,35,359,15,246,41.0
36,36,379,13,247,41.166666666666664
37,37,372,11,245,40.833333333333336
38,38,458,15,257,42.833333333333336
39,39,359,10,233,38.833333333333336
40,40,385,12,252,42.0
41,41,401,10,252,42.0
42,42,426,11,258,43.0
43,43,234,19,246,41.0
44,44,255,14,248,41.333333333333336
45,45,125,7,118,19.666666666666668
46,46,430,7,244,40.666666666666664
47,47,337,17,254,42.333333333333336
48,48,237,11,198,33.0
49,49,279,12,231,38.5
50,50,368,7,228,38.0
51,51,398,9,250,41.666666666666664
52,52,431,8,250,41.666666666666664
53,53,361,12,249,41.5
54,54,399,10,229,38.166666666666664
55,55,307,16,255,42.5
56,56,300,9,203,33.833333333333336
57,57,409,13,243,40.5
58,58,367,9,244,40.666666666666664
59,59,303,15,250,41.666666666666664
60,60,230,15,189,31.5
61,61,291,10,243,40.5
62,62,342,18,253,42.166666666666664
63,63,349,8,255,42.5
64,64,410,10,249,41.5
65,65,373,7,245,40.833333333333336
66,66,376,11,252,42.0
67,67,369,12,256,42.666666666666664
68,68,351,15,252,42.0
69,69,401,7,239,39.833333333333336
70,70,394,9,248,41.333333333333336
71,71,329,17,254,42.333333333333336
72,72,283,18,228,38.0
73,73,403,13,242,40.333333333333336
74,74,385,9,216,36.0
